Day;Month;Year;Time;Air;Yest
28;01;2017;20;90.3424;105.678
28;01;2017;21;106.305;111.816
28;01;2017;22;139.114;114.062
28;01;2017;23;125.372;94.9314
29;01;2017;00;118.88;98.5995
29;01;2017;01;113.893;95.4336
29;01;2017;02;92.8939;96.5453
29;01;2017;03;88.4437;86.6033
29;01;2017;04;77.6022;89.4532
29;01;2017;05;85.373;67.8489
29;01;2017;06;77.8405;55.2444
29;01;2017;07;78.9552;52.6943
29;01;2017;08;76.2181;61.5148
29;01;2017;09;89.7138;73.8625
29;01;2017;10;90.476;67.673
29;01;2017;11;84.9549;67.5233
29;01;2017;12;89.6656;75.6056
29;01;2017;13;87.7492;74.0611
29;01;2017;14;78.6375;52.3719
29;01;2017;15;75.1502;58.3057
29;01;2017;16;89.2837;68.9558
29;01;2017;17;100.008;67.236
29;01;2017;18;111.638;78.2892
29;01;2017;19;130.396;90.3424
29;01;2017;20;138.616;106.305
29;01;2017;21;127.099;139.114
29;01;2017;22;127.855;125.372
29;01;2017;23;123.417;118.88
30;01;2017;00;130.158;113.893
30;01;2017;01;125.619;92.8939
30;01;2017;02;191.658;88.4437
30;01;2017;03;128.928;77.6022
30;01;2017;04;137.154;85.373
30;01;2017;05;139.338;77.8405
30;01;2017;06;141.114;78.9552
30;01;2017;07;135.657;76.2181
30;01;2017;08;122.261;89.7138
30;01;2017;09;111.835;90.476
30;01;2017;10;98.9481;84.9549
30;01;2017;11;75.038;89.6656
30;01;2017;12;59.9255;87.7492
30;01;2017;13;54.4984;78.6375
30;01;2017;14;67.8242;75.1502
30;01;2017;15;65.9954;89.2837
30;01;2017;16;71.1941;100.008
30;01;2017;17;72.2057;111.638
30;01;2017;18;78.5976;130.396
30;01;2017;19;88.2221;138.616
30;01;2017;20;70.7578;127.099
30;01;2017;21;66.7355;127.855
30;01;2017;22;70.0775;123.417
30;01;2017;23;54.2444;130.158
31;01;2017;00;45.4605;125.619
31;01;2017;01;41.2013;191.658
31;01;2017;02;38.5081;128.928
31;01;2017;03;35.2092;137.154
31;01;2017;04;38.1254;139.338
31;01;2017;05;35.5458;141.114
31;01;2017;06;40.2426;135.657
31;01;2017;07;45.5465;122.261
31;01;2017;08;42.9855;111.835
31;01;2017;09;44.0247;98.9481
31;01;2017;10;41.495;75.038
31;01;2017;11;36.5234;59.9255
31;01;2017;12;37.5452;54.4984
31;01;2017;13;42.8464;67.8242
31;01;2017;14;39.406;65.9954
31;01;2017;15;52.5348;71.1941
31;01;2017;16;57.0628;72.2057
31;01;2017;17;66.3901;78.5976
31;01;2017;18;50.7929;88.2221
31;01;2017;19;45.8374;70.7578
31;01;2017;20;52.0622;66.7355
31;01;2017;21;55.8564;70.0775
31;01;2017;22;63.8999;54.2444
31;01;2017;23;50.6414;45.4605
01;02;2017;00;45.0393;41.2013
01;02;2017;01;47.1822;38.5081
01;02;2017;02;47.9631;35.2092
01;02;2017;03;56.7255;38.1254
01;02;2017;04;64.2094;35.5458
01;02;2017;05;64.0027;40.2426
01;02;2017;06;63.6496;45.5465
01;02;2017;07;66.7146;42.9855
01;02;2017;08;68.7985;44.0247
01;02;2017;09;63.7412;41.495
01;02;2017;10;71.5689;36.5234
